store_sid,store_master_code,store_last_code,store_last_name,channel_sid,customer_sid,country,region,province,city,store_type,short_name,space,b1_wh,store_branch_type,ship_to_type,b1_code,store_id,replenishment_arrival_date,location_id,open_date,last_dis_manager,status,hdetl_date,update_date,process_log_id,area,cluster,close_date,sit_code,comp_keep,source_sys,sap_customer_code,store_local_name,address1,address2,phone1,zip,phone2,store_no,subchannel
1381,UANTP,UANTP,UAHongKongWFH_UANTP,2,244,Hongkong,,,,,,0.0000,,,,,,,,2010-01-01 00:00:00,,Open,2025-02-11 13:32:22.144021,2025-02-11 05:34:12.378784,-1,0.0000,,9999-12-31 00:00:00,,,Sales_Collect_SPS : uaapac_locationmaster__20250208_alltradingpartners.csv,,,,,,,,,
2127,UAHKG03,UAHKG03,HONG KONG WAN CHAI,2,244,Hongkong,,,HONG KONG,BH,,0.0000,,,,,,,,2010-01-01 00:00:00,,Open,2025-02-11 13:32:22.144021,2025-02-11 05:34:12.378784,-1,0.0000,,9999-12-31 00:00:00,,,Sales_Collect_SPS : uaapac_locationmaster__20250208_alltradingpartners.csv,,,,,,,,,
2128,UAHKG02,UAHKG02,HONG KONG CAUSEWAY BAY SOGO DS,2,244,Hongkong,,,HONG KONG,BH,,0.0000,,,,,,,,2010-01-01 00:00:00,,Open,2025-02-11 13:32:22.144021,2025-02-11 05:34:12.378784,-1,0.0000,,9999-12-31 00:00:00,,,Sales_Collect_SPS : uaapac_locationmaster__20250208_alltradingpartners.csv,,,,,,,,,
2763,HKG_2110,UABH_HKG_2110,Ocean Terminal,3,22,Hongkong,,Hongkong,Hongkong,BH,,1511.0000,,,,,,,,2021-11-03 00:00:00,,closed,2025-02-11 13:32:26.777817,2025-02-11 05:34:12.378784,-1,1511.0000,,2024-09-15 00:00:00,,,Sales_Collect_SEA : store_2025021041003.csv,,,,,,,,,
3650,HKG_1470,UABH_HKG_1470,Olympian City,3,22,Hongkong,,,Hongkong,BH,,1246.0000,,,,,,,,2024-12-24 00:00:00,,open,2025-02-11 13:32:26.777817,2025-02-11 05:34:12.378784,-1,1246.0000,,9999-12-31 00:00:00,,,Sales_Collect_SEA : store_2025021041003.csv,,,,,,,,,
2701,UAHKG06,UAHKG06,HONG KONG TKO POPCORN,2,244,Hongkong,,,,BH,,0.0000,,,,,,,,2010-01-01 00:00:00,,Open,2025-02-11 13:32:22.144021,2025-02-11 05:34:12.378784,-1,0.0000,,9999-12-31 00:00:00,,,Sales_Collect_SPS : uaapac_locationmaster__20250208_alltradingpartners.csv,,,,,,,,,
2129,UAHKG04,UAHKG04,HONG KONG KOWLOON OLYMPIAN CITY,2,244,Hongkong,,,HONG KONG,BH,,0.0000,,,,,,,,2010-01-01 00:00:00,,Open,2025-02-11 13:32:22.144021,2025-02-11 05:34:12.378784,-1,0.0000,,9999-12-31 00:00:00,,,Sales_Collect_SPS : uaapac_locationmaster__20250208_alltradingpartners.csv,,,,,,,,,
2714,HKG_1820,UAFH_HKG_1820,City Gate,3,22,Hongkong,,Hongkong,Hongkong,FH,,2583.0000,,,,,,,,2020-09-19 00:00:00,,open,2025-02-11 13:32:26.777817,2025-02-11 05:34:12.378784,-1,2583.0000,,9999-12-31 00:00:00,,,Sales_Collect_SEA : store_2025021041003.csv,,,,,,,,,
2808,HKG_2262,UABH_HKG_2262,Manning House,3,22,Hongkong,,,,BH,,5372.0000,,,,,,,,2022-04-08 00:00:00,,open,2025-02-11 13:32:26.777817,2025-02-11 05:34:12.378784,-1,5372.0000,,9999-12-31 00:00:00,,,Sales_Collect_SEA : store_2025021041003.csv,,,,,,,,,
358,EC-HK,EC-HK,HK,1,23,Hongkong,,,,EC-HK,HK,0.0000,,,,,,,,2021-04-07 00:00:00,,open,2025-02-11 05:33:24,2025-02-11 05:34:12.378784,-1,0.0000,,9999-12-31 00:00:00,,,EC_UBH : TableName:UBH_DIM_STORE_EC,,,,,,,,,
2122,UAHKG01,UAHKG01,HONG KONG KWUN TONG  APM SM,2,244,Hongkong,,,HONG KONG,BH,,0.0000,,,,,,,,2010-01-01 00:00:00,,Open,2025-02-11 13:32:22.144021,2025-02-11 05:34:12.378784,-1,0.0000,,9999-12-31 00:00:00,,,Sales_Collect_SPS : uaapac_locationmaster__20250208_alltradingpartners.csv,,,,,,,,,
2126,UAHKG,UAHKG,UAHongKongWFH_UAHKG,2,244,Hongkong,,,HONG KONG,,,0.0000,,,,,,,,2010-01-01 00:00:00,,Open,2025-02-11 13:32:22.144021,2025-02-11 05:34:12.378784,-1,0.0000,,9999-12-31 00:00:00,,,Sales_Collect_SPS : uaapac_locationmaster__20250208_alltradingpartners.csv,,,,,,,,,
2218,UAHKG05,UAHKG05,UAHongKongWFH_UAHKG05,2,244,Hongkong,,,,EC,,0.0000,,,,,,,,2010-01-01 00:00:00,,Open,2025-02-11 13:32:22.144021,2025-02-11 05:34:12.378784,-1,0.0000,,9999-12-31 00:00:00,,,Sales_Collect_SPS : uaapac_locationmaster__20250208_alltradingpartners.csv,,,,,,,,,
1047,150000021,150000021,EC-Brand SITE HK,1,23,Hongkong,,,,EC-HK,EC-Brand SITE HK,0.0000,,,,,,,,2010-01-01 00:00:00,,closed,2025-02-11 05:33:24,2025-02-11 05:34:12.378784,-1,0.0000,,2021-04-06 00:00:00,,,EC_UBH : TableName:UBH_DIM_STORE_EC,,,,,,,,,