store_sid,store_master_code,store_last_code,store_last_name,channel_sid,customer_sid,country,region,province,city,store_type,short_name,space,b1_wh,store_branch_type,ship_to_type,b1_code,store_id,replenishment_arrival_date,location_id,open_date,last_dis_manager,status,hdetl_date,update_date,process_log_id,area,cluster,close_date,sit_code,comp_keep,source_sys,sap_customer_code,store_local_name,address1,address2,phone1,zip,phone2,store_no,subchannel,door_type,end_partner,customer_group
1411,UAOPC,UAOPC,UAAPAC_HONGKONG_UAOPC,2,132,Hongkong,,,,,,,,,,,,,,2010-01-01 00:00:00,,open,2020-07-21 17:13:37.423,2021-07-19 12:08:45.373,143047,,,2020-12-31 00:00:00,,,SPS,19052856,,,,,,,,,,,
1314,UAAPM,UAAPM,UAAPAC_HONGKONG_UAAPM,2,132,Hongkong,,,,,,,,,,,,,,2010-01-01 00:00:00,,open,2020-07-21 17:13:37.423,2021-07-19 12:08:45.373,143047,,,2020-12-31 00:00:00,,,SPS,19052856,,,,,,,,,,,
1568,UASG,UASG,UAAPAC_HONGKONG_UASG,2,132,Hongkong,,,,,,,,,,,,,,2010-01-01 00:00:00,,open,2020-07-21 17:13:37.423,2021-07-19 12:08:45.373,143047,,,2020-12-31 00:00:00,,,SPS,19052856,,,,,,,,,,,
1721,UACS,UACS,UAAPAC_HONGKONG_UACS,2,132,Hongkong,,,,,,,,,,,,,,2010-01-01 00:00:00,,open,2020-07-21 17:13:37.423,2021-07-19 12:08:45.373,143047,,,2020-12-31 00:00:00,,,SPS,19052856,,,,,,,,,,,
1317,UAWC,UAWC,UAAPAC_HONGKONG_UAWC,2,132,Hongkong,,,,,,,,,,,,,,2010-01-01 00:00:00,,open,2020-07-21 17:13:37.423,2021-07-19 12:08:45.373,143047,,,2020-12-31 00:00:00,,,SPS,19052856,,,,,,,,,,,
30,HKG_0180,DSBH_HKG_0180,Hong Kong Causeway Bay SF-closed,2,24,Hongkong,HK,Hongkong,Hong Kong,BH,,,,,,,,,,2014-07-25 00:00:00,,closed,2017-12-01 10:37:19,2020-06-30 16:31:46.96,26197,149,B,2020-12-31 00:00:00,,,ALLOCATION,,,,,,,,,,,,
107,HKG_0364,DSBH_HKG_0364,Hong Kong City Plaza SM,2,24,Hongkong,HK,Hongkong,Hong Kong,BH,,,,,,,,,,2015-10-28 00:00:00,,closed,2017-12-01 10:37:19,2020-06-30 16:31:46.96,26197,170,B,2020-12-31 00:00:00,,,ALLOCATION,,,,,,,,,,,,
84,HKG_0310,DSBH_HKG_0310,Hong Kong Central 38 Lyndhurst Terrace SF,2,24,Hongkong,HK,Hongkong,Hong Kong,BH,,,,,,,,,,2015-08-31 00:00:00,,closed,2017-12-01 10:37:19,2020-06-30 16:31:46.96,26197,240,A,2020-12-31 00:00:00,,,ALLOCATION,,,,,,,,,,,,
248,HKG_0721,DSBH_HKG_0721,Hong Kong Kwun Tong  APM SM,2,27,Hongkong,HK,Hongkong,Hong Kong,BH,,,,,,,,,,2017-01-19 00:00:00,,open,2017-12-01 10:37:19,2020-06-30 16:31:46.96,26197,480,AA,2020-12-31 00:00:00,,,ALLOCATION,,,,,,,,,,,,
159,HKG_0510,DSBH_HKG_0510,Hong Kong Wan Chai,2,27,Hongkong,HK,Hongkong,Hong Kong,BH,,,,,,,239,,,2018-05-11 00:00:00,,open,2017-12-01 10:37:19,2020-06-30 16:31:46.96,26197,699,A,2020-12-31 00:00:00,,Y,ALLOCATION,,,,,,,,,,,,
138,HKG_0435,DSBH_HKG_0435R,Hong Kong Causeway Bay Sogo DS - Relocation,2,27,Hongkong,HK,Hongkong,Hong kong,BH,,,,,,,3010,,,2018-04-26 00:00:00,,open,2017-12-01 10:37:19,2020-06-30 16:31:46.96,26197,60,D,2020-12-31 00:00:00,,Y,ALLOCATION,,,,,,,,,,,,
75,HKG_0293,DSBH_HKG_0293R,Hong Kong Shatin New Town Plaza SM - Relocation,2,27,Hongkong,HK,Hong Kong,Hong Kong,BH,,,,,,,3003,,,2018-05-15 00:00:00,,open,2017-12-01 10:37:19,2020-06-30 16:31:46.96,26197,100,C,2020-12-31 00:00:00,,Y,ALLOCATION,,,,,,,,,,,,
185,HKG_0598,DSFH_HKG_0598,Hong Kong Paradise Mall FH,2,24,Hongkong,HK,Hongkong,Hong Kong,FH,,,,,,,,,,2016-09-18 00:00:00,Jimmy Chen,closed,2017-12-01 10:37:19,2020-06-30 16:31:46.96,26197,231,B,2020-12-31 00:00:00,,,ALLOCATION,,,,,,,,,,,,
123,HKG_0394,DSBH_HKG_0394,Hong Kong Langham Place SM,2,24,Hongkong,HK,Hongkong,Hong Kong,BH,,,,,,,,,,2015-12-01 00:00:00,Jimmy Chen,closed,2017-12-01 10:37:19,2020-06-30 16:31:46.96,26197,95,C,2020-12-31 00:00:00,,,ALLOCATION,,,,,,,,,,,,